task,tier,score,verdict,run_status,stop_reason,model_requests,dbt_status,artifact,in_tokens,cache_tokens,out_tokens
playbook001,low,0,failed,timed_out,model_request_limit,30,failed,present,14152,280064,6325
divvy001,low,1,passed,timed_out,model_request_limit,30,failed,present,18360,283008,7212
superstore001,low,0,failed,completed,agent_end,11,passed,present,8791,45952,2121
tpch002,medium,0,failed,timed_out,model_request_limit,30,failed,present,12900,253312,4879
activity001,medium,0,failed,timed_out,model_request_limit,30,failed,present,32441,633344,5630
tickit001,medium,,not_scored,completed,agent_end,12,passed,missing,17909,124672,2360
apple_store001,medium,0,failed,timed_out,model_request_limit,30,failed,present,47180,902144,6934
marketo001,medium,,not_scored,completed,agent_end,28,passed,present,37918,585600,4621
airbnb001,medium,0,failed,timed_out,model_request_limit,30,failed,present,30254,495616,5724
zuora001,high,0,failed,timed_out,model_request_limit,30,failed,present,28394,635264,6946
nba001,high,0,failed,timed_out,model_request_limit,30,passed,present,25827,537088,7219
synthea001,high,0,failed,timed_out,model_request_limit,30,failed,present,39967,843264,6107
